Evaluation Metrics for Each Sample
======================================================================================================================
Sample       | a1           | a2           | a3           | abs_rel      | sq_rel       | rmse         | log_10       | rmse_log     | silog       
======================================================================================================================
1            | 0.9973       | 1.0000       | 1.0000       | 0.0320       | 0.0485       | 1.1999       | 0.0140       | 0.0461       | 4.3876      
2            | 0.9992       | 1.0000       | 1.0000       | 0.0237       | 0.0294       | 1.0708       | 0.0104       | 0.0331       | 2.8259      
3            | 0.9981       | 1.0000       | 1.0000       | 0.0168       | 0.0270       | 1.1192       | 0.0073       | 0.0290       | 2.9011      
4            | 0.9997       | 1.0000       | 1.0000       | 0.0226       | 0.0317       | 1.1073       | 0.0099       | 0.0331       | 3.1114      
5            | 0.9988       | 1.0000       | 1.0000       | 0.0296       | 0.0342       | 1.1898       | 0.0128       | 0.0383       | 3.8011      
6            | 0.9980       | 1.0000       | 1.0000       | 0.0446       | 0.0669       | 1.6126       | 0.0194       | 0.0557       | 5.5646      
7            | 0.9976       | 0.9998       | 1.0000       | 0.0275       | 0.0477       | 1.3586       | 0.0119       | 0.0417       | 4.1459      
8            | 0.9975       | 1.0000       | 1.0000       | 0.0279       | 0.0491       | 1.5112       | 0.0124       | 0.0402       | 3.4142      
9            | 0.9973       | 0.9999       | 1.0000       | 0.0278       | 0.0446       | 1.4120       | 0.0122       | 0.0394       | 3.8439      
10           | 0.9980       | 0.9999       | 1.0000       | 0.0419       | 0.0718       | 1.5104       | 0.0177       | 0.0580       | 5.2636      
11           | 0.9988       | 1.0000       | 1.0000       | 0.0190       | 0.0263       | 1.1060       | 0.0083       | 0.0290       | 2.8326      
12           | 0.9977       | 1.0000       | 1.0000       | 0.0292       | 0.0425       | 1.2645       | 0.0127       | 0.0405       | 3.9741      
13           | 0.9981       | 1.0000       | 1.0000       | 0.0326       | 0.0492       | 1.3844       | 0.0145       | 0.0435       | 3.5236      
14           | 0.9988       | 1.0000       | 1.0000       | 0.0431       | 0.0629       | 1.4654       | 0.0192       | 0.0540       | 3.8226      
15           | 0.9973       | 0.9999       | 1.0000       | 0.0647       | 0.1173       | 1.8006       | 0.0272       | 0.0834       | 7.8378      
16           | 0.9947       | 0.9997       | 1.0000       | 0.0555       | 0.1044       | 1.9353       | 0.0238       | 0.0723       | 7.2110      
17           | 0.9990       | 1.0000       | 1.0000       | 0.0205       | 0.0301       | 1.1358       | 0.0090       | 0.0318       | 3.1563      
18           | 0.9979       | 0.9998       | 1.0000       | 0.0497       | 0.0872       | 1.6625       | 0.0211       | 0.0657       | 6.1475      
19           | 0.9996       | 1.0000       | 1.0000       | 0.0199       | 0.0288       | 1.0764       | 0.0087       | 0.0315       | 3.1345      
20           | 0.9984       | 1.0000       | 1.0000       | 0.0329       | 0.0489       | 1.3069       | 0.0142       | 0.0440       | 4.3988      
21           | 0.9996       | 1.0000       | 1.0000       | 0.0306       | 0.0368       | 1.0694       | 0.0134       | 0.0407       | 3.6885      
22           | 0.9601       | 0.9985       | 0.9999       | 0.0414       | 0.1821       | 2.7487       | 0.0188       | 0.0778       | 7.2412      
23           | 0.9548       | 0.9981       | 0.9992       | 0.0533       | 0.1598       | 2.1504       | 0.0238       | 0.0870       | 8.2922      
24           | 0.9797       | 0.9982       | 0.9997       | 0.0460       | 0.1332       | 2.0027       | 0.0202       | 0.0741       | 7.1710      
25           | 0.9847       | 0.9990       | 0.9998       | 0.0402       | 0.1336       | 2.3235       | 0.0181       | 0.0729       | 6.8311      
26           | 0.9959       | 0.9990       | 0.9995       | 0.0377       | 0.0655       | 1.4088       | 0.0166       | 0.0539       | 4.8375      
27           | 0.9915       | 0.9994       | 1.0000       | 0.0391       | 0.0817       | 1.6896       | 0.0167       | 0.0587       | 5.8495      
28           | 0.9916       | 0.9979       | 0.9993       | 0.0322       | 0.0883       | 1.6202       | 0.0139       | 0.0562       | 5.5266      
29           | 0.9807       | 0.9985       | 0.9997       | 0.0365       | 0.1070       | 1.9428       | 0.0156       | 0.0629       | 6.2802      
30           | 0.9476       | 0.9957       | 0.9988       | 0.0540       | 0.2515       | 3.1690       | 0.0240       | 0.0936       | 8.7027      
31           | 0.9741       | 0.9969       | 0.9999       | 0.0533       | 0.2016       | 2.7558       | 0.0242       | 0.0879       | 8.1566      
32           | 0.9932       | 0.9989       | 1.0000       | 0.0666       | 0.1852       | 2.2755       | 0.0292       | 0.0881       | 8.6263      
33           | 0.9987       | 0.9999       | 0.9999       | 0.0603       | 0.1034       | 1.5264       | 0.0269       | 0.0755       | 6.4265      
34           | 0.9863       | 0.9971       | 0.9995       | 0.0725       | 0.1381       | 1.8476       | 0.0331       | 0.0942       | 6.7176      
35           | 0.9607       | 0.9988       | 0.9997       | 0.0493       | 0.1965       | 2.9860       | 0.0226       | 0.0821       | 6.8873      
36           | 0.9588       | 0.9986       | 1.0000       | 0.0555       | 0.2415       | 3.3653       | 0.0252       | 0.0859       | 6.9247      
37           | 0.9545       | 0.9891       | 0.9992       | 0.0533       | 0.2411       | 3.0423       | 0.0244       | 0.0958       | 8.2766      
38           | 0.9821       | 0.9987       | 0.9999       | 0.0456       | 0.1123       | 1.9413       | 0.0207       | 0.0703       | 5.5503      
39           | 0.9901       | 0.9993       | 0.9998       | 0.0320       | 0.0971       | 2.1138       | 0.0144       | 0.0560       | 5.1484      
40           | 0.9848       | 0.9953       | 0.9999       | 0.0276       | 0.1013       | 2.0934       | 0.0124       | 0.0604       | 6.0195      
41           | 0.9738       | 0.9975       | 0.9988       | 0.0382       | 0.1229       | 2.0356       | 0.0169       | 0.0691       | 6.6340      
42           | 0.9814       | 0.9958       | 0.9994       | 0.0315       | 0.1411       | 2.2571       | 0.0134       | 0.0687       | 6.8363      
43           | 0.9756       | 0.9981       | 0.9998       | 0.0413       | 0.1560       | 2.6791       | 0.0186       | 0.0734       | 7.2317      
44           | 0.9555       | 0.9973       | 0.9993       | 0.0510       | 0.2436       | 3.1975       | 0.0226       | 0.0889       | 8.8728      
45           | 0.9416       | 0.9991       | 0.9997       | 0.0519       | 0.2485       | 3.1688       | 0.0231       | 0.0888       | 8.7696      
46           | 0.9855       | 0.9984       | 0.9994       | 0.0459       | 0.1076       | 1.8290       | 0.0199       | 0.0716       | 7.0540      
47           | 0.9841       | 0.9987       | 0.9996       | 0.0433       | 0.1209       | 2.2256       | 0.0196       | 0.0684       | 5.6394      
48           | 0.9957       | 0.9997       | 0.9999       | 0.0549       | 0.0931       | 1.6935       | 0.0232       | 0.0734       | 7.0724      
49           | 0.8936       | 1.0000       | 1.0000       | 0.0813       | 0.1887       | 2.1972       | 0.0332       | 0.1131       | 10.9759     
50           | 0.9906       | 0.9989       | 1.0000       | 0.0400       | 0.0969       | 1.8521       | 0.0181       | 0.0658       | 5.6813      
51           | 0.9742       | 0.9996       | 0.9999       | 0.0650       | 0.0969       | 1.5921       | 0.0271       | 0.0865       | 8.4160      
