Evaluation Metrics for Each Sample
======================================================================================================================
Sample       | a1           | a2           | a3           | abs_rel      | sq_rel       | rmse         | log_10       | rmse_log     | silog       
======================================================================================================================
1            | 0.7193       | 0.9530       | 0.9602       | 0.2313       | 0.0958       | 0.3177       | 0.0858       | 0.2405       | 13.7218     
2            | 0.9523       | 0.9783       | 0.9981       | 0.0921       | 0.0346       | 0.2499       | 0.0398       | 0.1313       | 12.6935     
3            | 0.4904       | 0.9127       | 0.9887       | 0.2211       | 0.1439       | 0.6032       | 0.1123       | 0.2925       | 14.1443     
4            | 0.3568       | 0.8107       | 0.9995       | 0.2504       | 0.1938       | 0.6954       | 0.1315       | 0.3493       | 19.2956     
5            | 0.6601       | 0.9530       | 0.9975       | 0.1528       | 0.0787       | 0.4289       | 0.0753       | 0.2258       | 17.6738     
6            | 0.8585       | 0.9973       | 1.0000       | 0.0898       | 0.0342       | 0.2983       | 0.0409       | 0.1318       | 12.1528     
7            | 0.7061       | 0.9999       | 1.0000       | 0.1191       | 0.0497       | 0.3402       | 0.0568       | 0.1654       | 12.0143     
8            | 0.8040       | 1.0000       | 1.0000       | 0.1222       | 0.0434       | 0.2930       | 0.0584       | 0.1665       | 11.8142     
9            | 0.9089       | 0.9973       | 0.9981       | 0.1282       | 0.0403       | 0.2770       | 0.0518       | 0.1633       | 12.2845     
10           | 0.9755       | 1.0000       | 1.0000       | 0.0656       | 0.0114       | 0.1357       | 0.0286       | 0.0865       | 8.4725      
11           | 0.9330       | 0.9997       | 1.0000       | 0.0766       | 0.0215       | 0.2167       | 0.0341       | 0.1063       | 10.4568     
12           | 0.9483       | 0.9990       | 0.9999       | 0.1195       | 0.0357       | 0.2656       | 0.0499       | 0.1344       | 12.5757     
13           | 0.6492       | 0.9811       | 0.9988       | 0.2196       | 0.0765       | 0.3040       | 0.0836       | 0.2210       | 10.8834     
