Evaluation Metrics for Each Sample
======================================================================================================================
Sample       | a1           | a2           | a3           | abs_rel      | sq_rel       | rmse         | log_10       | rmse_log     | silog       
======================================================================================================================
1            | 0.9981       | 1.0000       | 1.0000       | 0.0246       | 0.0327       | 1.1017       | 0.0105       | 0.0356       | 3.2369      
2            | 0.9988       | 1.0000       | 1.0000       | 0.0283       | 0.0345       | 1.1440       | 0.0121       | 0.0370       | 2.9666      
3            | 0.9973       | 1.0000       | 1.0000       | 0.0418       | 0.0570       | 1.4608       | 0.0178       | 0.0486       | 3.2099      
4            | 0.9995       | 1.0000       | 1.0000       | 0.0304       | 0.0340       | 1.0665       | 0.0129       | 0.0384       | 2.8578      
5            | 0.9982       | 1.0000       | 1.0000       | 0.0367       | 0.0470       | 1.3851       | 0.0156       | 0.0452       | 3.3724      
6            | 0.9987       | 1.0000       | 1.0000       | 0.0329       | 0.0442       | 1.4126       | 0.0142       | 0.0437       | 4.3472      
7            | 0.9970       | 0.9999       | 1.0000       | 0.0233       | 0.0403       | 1.4024       | 0.0101       | 0.0358       | 3.4449      
8            | 0.9962       | 1.0000       | 1.0000       | 0.0176       | 0.0385       | 1.5058       | 0.0077       | 0.0311       | 3.1064      
9            | 0.9961       | 1.0000       | 1.0000       | 0.0235       | 0.0430       | 1.4973       | 0.0102       | 0.0370       | 3.6222      
10           | 0.9966       | 1.0000       | 1.0000       | 0.0289       | 0.0438       | 1.4496       | 0.0125       | 0.0397       | 3.5515      
11           | 0.9974       | 1.0000       | 1.0000       | 0.0245       | 0.0381       | 1.3772       | 0.0106       | 0.0348       | 3.0503      
12           | 0.9973       | 1.0000       | 1.0000       | 0.0253       | 0.0342       | 1.2261       | 0.0111       | 0.0361       | 3.4186      
13           | 0.9976       | 1.0000       | 1.0000       | 0.0198       | 0.0331       | 1.2693       | 0.0086       | 0.0319       | 3.1194      
14           | 0.9992       | 1.0000       | 1.0000       | 0.0191       | 0.0220       | 0.9633       | 0.0083       | 0.0280       | 2.7939      
15           | 0.9971       | 1.0000       | 1.0000       | 0.0317       | 0.0463       | 1.4141       | 0.0137       | 0.0445       | 4.3029      
16           | 0.9972       | 0.9998       | 1.0000       | 0.0324       | 0.0516       | 1.5618       | 0.0141       | 0.0450       | 4.5031      
17           | 0.9990       | 1.0000       | 1.0000       | 0.0280       | 0.0379       | 1.2552       | 0.0120       | 0.0372       | 3.0150      
18           | 0.9968       | 0.9999       | 1.0000       | 0.0256       | 0.0386       | 1.3755       | 0.0111       | 0.0367       | 3.4708      
19           | 0.9987       | 1.0000       | 1.0000       | 0.0344       | 0.0448       | 1.2763       | 0.0147       | 0.0424       | 3.0685      
20           | 0.9977       | 1.0000       | 1.0000       | 0.0247       | 0.0380       | 1.2836       | 0.0107       | 0.0374       | 3.7300      
21           | 0.9996       | 1.0000       | 1.0000       | 0.0275       | 0.0263       | 0.8829       | 0.0117       | 0.0351       | 2.6817      
22           | 0.9870       | 0.9988       | 0.9999       | 0.0280       | 0.0990       | 2.2298       | 0.0124       | 0.0533       | 5.3216      
23           | 0.9872       | 0.9981       | 0.9995       | 0.0408       | 0.1115       | 1.9728       | 0.0180       | 0.0690       | 6.8230      
24           | 0.9785       | 0.9989       | 0.9999       | 0.0429       | 0.1105       | 1.9666       | 0.0188       | 0.0708       | 7.0396      
25           | 0.9920       | 0.9993       | 0.9999       | 0.0376       | 0.0921       | 1.9500       | 0.0167       | 0.0613       | 5.5786      
26           | 0.9904       | 0.9990       | 0.9999       | 0.0264       | 0.0603       | 1.4967       | 0.0116       | 0.0499       | 4.8942      
27           | 0.9904       | 0.9992       | 0.9998       | 0.0419       | 0.0915       | 1.8205       | 0.0177       | 0.0629       | 5.7357      
28           | 0.9915       | 0.9980       | 0.9994       | 0.0321       | 0.0799       | 1.5287       | 0.0137       | 0.0542       | 5.4085      
29           | 0.9652       | 0.9980       | 0.9996       | 0.0651       | 0.1861       | 2.6660       | 0.0286       | 0.0898       | 8.3675      
30           | 0.9618       | 0.9965       | 0.9993       | 0.0462       | 0.1703       | 2.3374       | 0.0197       | 0.0805       | 7.8755      
31           | 0.9838       | 0.9982       | 0.9997       | 0.0487       | 0.1388       | 2.3735       | 0.0213       | 0.0745       | 7.4465      
32           | 0.9970       | 0.9999       | 1.0000       | 0.0487       | 0.0727       | 1.3287       | 0.0207       | 0.0605       | 5.3063      
33           | 0.9987       | 0.9999       | 1.0000       | 0.0435       | 0.0435       | 0.9664       | 0.0186       | 0.0522       | 4.6556      
34           | 0.9949       | 0.9993       | 0.9998       | 0.0438       | 0.0674       | 1.2944       | 0.0190       | 0.0591       | 5.9117      
35           | 0.9943       | 0.9994       | 0.9996       | 0.0452       | 0.0928       | 1.8577       | 0.0200       | 0.0625       | 5.4008      
36           | 0.9822       | 0.9990       | 0.9996       | 0.0374       | 0.1725       | 3.0467       | 0.0166       | 0.0652       | 6.1521      
