Evaluation Metrics for Each Sample
======================================================================================================================
Sample       | a1           | a2           | a3           | abs_rel      | sq_rel       | rmse         | log_10       | rmse_log     | silog       
======================================================================================================================
1            | 0.8610       | 0.9950       | 0.9996       | 0.1444       | 0.0363       | 0.2017       | 0.0565       | 0.1615       | 9.8172      
2            | 0.9334       | 0.9955       | 0.9996       | 0.0954       | 0.0322       | 0.2690       | 0.0414       | 0.1228       | 12.1246     
3            | 0.9456       | 0.9997       | 1.0000       | 0.0914       | 0.0316       | 0.2834       | 0.0420       | 0.1217       | 10.2048     
4            | 0.9627       | 0.9948       | 0.9999       | 0.0846       | 0.0216       | 0.2124       | 0.0376       | 0.1108       | 10.1232     
5            | 0.9335       | 0.9987       | 1.0000       | 0.1066       | 0.0274       | 0.2327       | 0.0466       | 0.1289       | 12.7973     
6            | 0.9810       | 0.9996       | 1.0000       | 0.0847       | 0.0177       | 0.1951       | 0.0372       | 0.1012       | 10.0587     
7            | 0.9865       | 0.9999       | 1.0000       | 0.0496       | 0.0081       | 0.1254       | 0.0221       | 0.0701       | 6.6294      
8            | 1.0000       | 1.0000       | 1.0000       | 0.0653       | 0.0108       | 0.1413       | 0.0273       | 0.0748       | 6.0697      
9            | 0.9668       | 0.9977       | 0.9981       | 0.1376       | 0.0394       | 0.2865       | 0.0565       | 0.1556       | 10.2592     
10           | 0.9765       | 1.0000       | 1.0000       | 0.0703       | 0.0120       | 0.1309       | 0.0292       | 0.0877       | 7.4225      
11           | 0.9760       | 0.9997       | 0.9999       | 0.0682       | 0.0166       | 0.1918       | 0.0305       | 0.0925       | 8.9650      
12           | 0.9955       | 0.9997       | 1.0000       | 0.0661       | 0.0123       | 0.1606       | 0.0279       | 0.0774       | 6.6151      
13           | 0.8704       | 0.9893       | 1.0000       | 0.1764       | 0.0515       | 0.2654       | 0.0691       | 0.1785       | 8.5300      
14           | 0.9563       | 0.9997       | 1.0000       | 0.0678       | 0.0139       | 0.1595       | 0.0306       | 0.0947       | 8.9105      
15           | 0.9767       | 1.0000       | 1.0000       | 0.0487       | 0.0091       | 0.1294       | 0.0216       | 0.0733       | 6.9849      
16           | 0.9769       | 0.9965       | 0.9973       | 0.0443       | 0.0199       | 0.3203       | 0.0203       | 0.0812       | 7.5327      
17           | 0.9793       | 0.9999       | 1.0000       | 0.0568       | 0.0164       | 0.2331       | 0.0257       | 0.0778       | 6.4470      
18           | 0.9683       | 0.9956       | 0.9975       | 0.0973       | 0.0385       | 0.3400       | 0.0439       | 0.1223       | 8.8379      
19           | 0.9910       | 0.9985       | 1.0000       | 0.0667       | 0.0195       | 0.2477       | 0.0301       | 0.0858       | 6.1270      
